Feature,Question P(Y|X=0),Question P(Y|X=1),Question P(X),P(Y|X=0),P(Y|X=1),P(X)
Mjob_other,,"If a high school *student's mother works in an other field than teaching, health care, civil services (e.g. administrative or police) or at home*, what is the probability that the student’s final grade is among the better half of the class?","What is the percentage of high school students *whose mothers work in an other field than teaching, health care, civil services (e.g. administrative or police) or at home*?",0.5,,
higher,"If a high school *student does not want to take higher education*, what is the probability that the student’s final grade is among the better half of the class?","If a high school *student wants to take higher education*, what is the probability that the student’s final grade is among the better half of the class?",,,,0.9
absences,"If a high school *student has few or a medium number of absences at school*, what is the probability that the student’s final grade is among the better half of the class?","If a high school *student has many absences at school*, what is the probability that the student’s final grade is among the better half of the class?",What is the percentage of high school students *having many absences at school*?,,,
failures,"If a high school *student has failed more than one class*, what is the probability that the student’s final grade is among the better half of the class?",,,,0.55,0.95
paid,,,,0.53,0.51,0.2
Fjob_teacher,"If a high school *student's father is not a teacher*, what is the probability that the student’s final grade is among the better half of the class?","If a high school *student's father is a teacher*, what is the probability that the student’s final grade is among the better half of the class?",What is the percentage of high school students *whose father is a teacher*?,,,
Medu,"If a high school *student's mother had more than Primary education until 4th grade*, what is the probability that the student’s final grade is among the better half of the class?","If a high school *student's mother had Primary education until 4th grade or less*, what is the probability that the student’s final grade is among the better half of the class?",What is the percentage of high school students *whose mothers had Primary education until 4th grade or less*?,,,
health,"If a high school *student's health status is either high or low*, what is the probability that the student’s final grade is among the better half of the class?","If a high school *student's health status is average*, what is the probability that the student’s final grade is among the better half of the class?",What is the percentage of high school students *whose health status is average*?,,,
famsize,"If a high school *student's family size is greater than three*, what is the probability that the student’s final grade is among the better half of the class?","If a high school *student's family size is less or equal to three*, what is the probability that the student’s final grade is among the better half of the class?",What is the percentage of high school students *with a family size less or equal to three*?,,,
age,"If a high school *student belongs to the younger or middle-aged part of the class (19 years or younger)*, what is the probability that the student’s final grade is among the better half of the class?","If a high school *student belongs to the older part of the class (older than 19 years)*, what is the probability that the student’s final grade is among the better half of the class?",What is the percentage of high school students *belonging to the older part of the class (older than 19 years)*?,,,
